Matrix millisec_spmv
1138_bus 0.003868
130bit 0.004906
144 0.047887
145bit 0.004949
162bit 0.004919
176bit 0.005361
192bit 0.006365
208bit 0.008053
2cubes_sphere 0.031513
2D_27628_bjtcai 0.007678
2D_54019_highK 0.029560
333SP 0.789371
3D_28984_Tetra 0.019746
3D_51448_3D 0.044946
3dtube 0.050398
3elt_dual 0.004864
3elt 0.004938
598a 0.037531
662_bus 0.004987
685_bus 0.004960
a0nsdsil 0.126417
a2nnsnsl 0.112626
a5esindl 0.207358
ABACUS_shell_hd 0.006176
ABACUS_shell_ld 0.006176
ABACUS_shell_md 0.006189
ABACUS_shell_ud 0.006196
abtaha1 0.005136
abtaha2 0.005069
adaptive 0.645776
add20 0.004951
add32 0.005032
adder_dcop_01 0.015071
adder_trans_01 0.015047
adder_trans_02 0.015077
af_0_k101 0.288708
af_1_k101 0.289074
af23560 0.009158
af_2_k101 0.298361
af_3_k101 0.288897
af_4_k101 0.288716
af_5_k101 0.288835
af_shell10 0.982204
af_shell1 0.290086
af_shell2 0.290322
af_shell3 0.299060
af_shell4 0.290054
af_shell5 0.290300
af_shell6 0.290194
af_shell7 0.290130
af_shell8 0.301023
af_shell9 0.290334
aft01 0.004020
aft02 0.005523
aircraft 0.004927
airfoil1_dual 0.004968
airfoil1 0.005048
airfoil_2d 0.007527
ak2010 0.013329
al2010 0.027304
Alemdar 0.004956
amazon0302 0.024792
amazon0312 0.059247
amazon0505 0.061606
amazon0601 0.060684
amazon-2008 0.109156
Andrews 0.018198
apache1 0.007547
apache2 0.080723
appu 0.024410
ar2010 0.020253
as-22july06 0.050893
AS365 1.462570
as-735 0.032564
as-caida 0.057704
ash608 0.004995
ash958 0.004980
asia_osm 0.929235
ASIC_100k 0.705285
ASIC_100ks 0.011042
ASIC_320k 3.340892
ASIC_320ks 0.044029
ASIC_680ks 0.058909
as-Skitter 1.069238
astro-ph 0.006921
atmosmodd 0.144901
atmosmodj 0.150473
atmosmodl 0.169564
atmosmodm 0.167151
aug2dc 0.005156
aug2d 0.005462
aug3dcqp 0.004004
aug3d 0.005116
auto 0.132904
av41092 0.039649
az2010 0.027931
