Matrix millisec_spmv
1138_bus 0.003963
130bit 0.004908
144 0.049393
145bit 0.004997
162bit 0.003937
176bit 0.005003
192bit 0.006337
208bit 0.008082
2cubes_sphere 0.031897
2D_27628_bjtcai 0.007623
2D_54019_highK 0.029546
333SP 0.804172
3D_28984_Tetra 0.019826
3D_51448_3D 0.045097
3dtube 0.050591
3elt_dual 0.004954
3elt 0.004008
598a 0.038801
662_bus 0.004940
685_bus 0.004853
a0nsdsil 0.127896
a2nnsnsl 0.112907
a5esindl 0.207416
ABACUS_shell_hd 0.006223
ABACUS_shell_ld 0.006187
ABACUS_shell_md 0.006237
ABACUS_shell_ud 0.006189
abtaha1 0.004914
abtaha2 0.004879
adaptive 0.646089
add20 0.005011
add32 0.004847
adder_dcop_01 0.015011
adder_trans_01 0.015026
adder_trans_02 0.015047
af_0_k101 0.292449
af_1_k101 0.292699
af23560 0.009149
af_2_k101 0.299348
af_3_k101 0.292234
af_4_k101 0.292185
af_5_k101 0.292039
af_shell10 1.014950
af_shell1 0.295932
af_shell2 0.296213
af_shell3 0.307289
af_shell4 0.296112
af_shell5 0.296126
af_shell6 0.295985
af_shell7 0.296046
af_shell8 0.305227
af_shell9 0.296178
aft01 0.004090
aft02 0.005053
aircraft 0.004894
airfoil1_dual 0.005329
airfoil1 0.004939
airfoil_2d 0.007570
ak2010 0.013500
al2010 0.029552
Alemdar 0.004949
amazon0302 0.027191
amazon0312 0.062272
amazon0505 0.064356
amazon0601 0.063483
amazon-2008 0.113426
Andrews 0.019289
apache1 0.007481
apache2 0.080691
appu 0.025582
ar2010 0.021310
as-22july06 0.054305
AS365 1.482870
as-735 0.032485
as-caida 0.057909
ash608 0.004991
ash958 0.005195
asia_osm 0.823719
ASIC_100k 0.771499
ASIC_100ks 0.011041
ASIC_320k 3.336609
ASIC_320ks 0.044893
ASIC_680ks 0.061129
as-Skitter 1.103733
astro-ph 0.006953
atmosmodd 0.144975
atmosmodj 0.150460
atmosmodl 0.168790
atmosmodm 0.167027
aug2dc 0.004964
aug2d 0.003916
aug3dcqp 0.005245
aug3d 0.004944
auto 0.140289
av41092 0.040666
az2010 0.029467
b2_ss 0.004927
barrier2-10 0.096431
barrier2-1 0.088822
barrier2-2 0.088858
barrier2-9 0.096334
barth4 0.003915
barth5 0.005055
barth 0.004945
bas1lp 0.006864
Baumann 0.014933
bauru5727 0.004718
baxter 0.061885
bayer01 0.005357
bayer02 0.004908
bayer03 0.004960
bayer04 0.004953
bayer05 0.004989
bayer06 0.004871
bayer09 0.005002
bayer10 0.005021
bbmat 0.028212
bcircuit 0.007690
bcspwr06 0.005237
bcspwr07 0.005003
bcspwr08 0.004992
bcspwr09 0.005207
bcspwr10 0.004918
bcsstk03 0.005005
bcsstk06 0.005073
bcsstk07 0.004970
bcsstk08 0.004981
bcsstk09 0.004964
bcsstk10 0.004914
bcsstk11 0.004999
bcsstk13 0.004966
bcsstk14 0.004944
bcsstk15 0.005032
bcsstk16 0.005776
bcsstk17 0.007557
bcsstk18 0.005363
bcsstk19 0.005034
bcsstk20 0.004952
bcsstk21 0.005012
bcsstk23 0.004972
bcsstk25 0.006295
bcsstk26 0.005081
bcsstk27 0.005173
bcsstk28 0.005423
bcsstk29 0.009027
bcsstk30 0.028720
bcsstk31 0.022872
bcsstk32 0.032453
bcsstk33 0.008029
bcsstk34 0.004999
bcsstk35 0.023819
bcsstk36 0.019525
bcsstk37 0.020476
bcsstk38 0.008347
bcsstk39 0.035021
bcsstm03 0.005084
bcsstm04 0.004867
bcsstm05 0.005113
bcsstm06 0.005016
bcsstm08 0.005025
bcsstm09 0.004879
bcsstm10 0.005041
bcsstm11 0.005074
bcsstm12 0.004919
bcsstm13 0.004861
bcsstm19 0.004954
bcsstm20 0.005468
bcsstm21 0.005095
bcsstm22 0.005054
bcsstm23 0.005291
bcsstm24 0.004951
bcsstm25 0.005023
bcsstm26 0.005304
bcsstm27 0.004921
