Matrix millisec_spmv
1138_bus 0.004221
130bit 0.004978
144 0.061830
145bit 0.004930
162bit 0.003997
176bit 0.004921
192bit 0.006190
208bit 0.008443
2cubes_sphere 0.044241
2D_27628_bjtcai 0.008937
2D_54019_highK 0.035653
333SP 0.946093
3D_28984_Tetra 0.023537
3D_51448_3D 0.043965
3dtube 0.062170
3elt_dual 0.005552
3elt 0.003862
598a 0.046389
662_bus 0.004910
685_bus 0.004962
a0nsdsil 0.127768
a2nnsnsl 0.114129
a5esindl 0.207079
ABACUS_shell_hd 0.006864
ABACUS_shell_ld 0.006892
ABACUS_shell_md 0.006829
ABACUS_shell_ud 0.006875
abtaha1 0.005015
abtaha2 0.004987
adaptive 0.743546
add20 0.005017
add32 0.004954
adder_dcop_01 0.015093
adder_trans_01 0.015037
adder_trans_02 0.015040
af_0_k101 0.406260
af_1_k101 0.406428
af23560 0.010989
af_2_k101 0.421825
af_3_k101 0.406219
af_4_k101 0.406326
af_5_k101 0.406323
af_shell10 1.325185
af_shell1 0.408441
af_shell2 0.408436
af_shell3 0.423700
af_shell4 0.408615
af_shell5 0.408416
af_shell6 0.408671
af_shell7 0.408379
af_shell8 0.425672
af_shell9 0.408420
aft01 0.004198
aft02 0.005062
aircraft 0.005041
airfoil1_dual 0.004869
airfoil1 0.004909
airfoil_2d 0.008995
ak2010 0.014216
al2010 0.035602
Alemdar 0.005063
amazon0302 0.030757
amazon0312 0.084136
amazon0505 0.088140
amazon0601 0.086520
amazon-2008 0.150043
Andrews 0.022768
apache1 0.009230
apache2 0.116139
appu 0.027699
ar2010 0.026897
as-22july06 0.050213
AS365 1.507431
as-735 0.032495
as-caida 0.057571
ash608 0.004954
ash958 0.005021
asia_osm 1.021081
ASIC_100k 0.707030
ASIC_100ks 0.013565
ASIC_320k 3.270566
ASIC_320ks 0.062600
ASIC_680ks 0.079323
as-Skitter 1.113834
astro-ph 0.006555
atmosmodd 0.217236
atmosmodj 0.207229
atmosmodl 0.239721
atmosmodm 0.239757
aug2dc 0.004919
aug2d 0.003826
aug3dcqp 0.004956
aug3d 0.004978
auto 0.176873
av41092 0.043934
az2010 0.035382
b2_ss 0.005028
barrier2-10 0.123722
barrier2-1 0.094385
barrier2-2 0.094330
barrier2-9 0.123731
barth4 0.004836
barth5 0.005178
barth 0.004939
bas1lp 0.006823
Baumann 0.020212
bauru5727 0.005596
baxter 0.061796
bayer01 0.006044
bayer02 0.004863
bayer03 0.005010
bayer04 0.004975
bayer05 0.005063
bayer06 0.004918
bayer09 0.005150
bayer10 0.005041
bbmat 0.038518
bcircuit 0.011060
bcspwr06 0.005073
bcspwr07 0.004936
bcspwr08 0.004913
bcspwr09 0.005008
bcspwr10 0.004911
bcsstk03 0.005340
bcsstk06 0.004941
bcsstk07 0.004883
bcsstk08 0.005121
bcsstk09 0.004989
bcsstk10 0.004947
bcsstk11 0.004919
bcsstk13 0.004878
bcsstk14 0.005125
bcsstk15 0.005399
bcsstk16 0.006508
bcsstk17 0.009106
bcsstk18 0.005533
bcsstk19 0.004886
bcsstk20 0.004967
bcsstk21 0.005045
bcsstk23 0.005038
bcsstk25 0.006383
bcsstk26 0.004916
bcsstk27 0.004937
bcsstk28 0.005980
bcsstk29 0.011467
bcsstk30 0.036241
bcsstk31 0.031171
bcsstk32 0.044877
bcsstk33 0.009554
bcsstk34 0.005622
bcsstk35 0.032872
bcsstk36 0.026199
bcsstk37 0.027383
bcsstk38 0.008201
bcsstk39 0.048871
bcsstm03 0.005063
bcsstm04 0.004965
bcsstm05 0.004961
bcsstm06 0.005035
bcsstm08 0.005017
bcsstm09 0.004878
bcsstm10 0.005218
bcsstm11 0.005001
bcsstm12 0.004947
bcsstm13 0.004906
bcsstm19 0.005009
bcsstm20 0.005092
bcsstm21 0.004959
bcsstm22 0.005104
bcsstm23 0.005003
bcsstm24 0.005130
bcsstm25 0.005217
bcsstm26 0.004950
bcsstm27 0.005030
bcsstm34 0.005032
bcsstm35 0.004873
bcsstm36 0.008115
bcsstm37 0.004907
bcsstm38 0.005011
bcsstm39 0.005008
b_dyn 0.004895
belgium_osm 0.135303
BenElechi1 0.246941
benzene 0.006207
bfly 0.005288
bfwa782 0.004945
bfwb782 0.005059
bibd_49_3 0.004909
bibd_81_2 0.004917
bibd_81_3 0.005438
big_dual 0.004841
big 0.004926
biplane-9 0.004997
bips07_1693 0.004986
bips07_1998 0.004922
bips07_2476 0.005196
bips07_3078 0.005004
bips98_1142 0.004930
bips98_1450 0.004978
bips98_606 0.004890
blckhole 0.004977
blockqp1 0.215431
bloweya 0.205282
bloweybl 0.206227
bloweybq 0.106810
bmw3_2 0.207137
bmw7st_1 0.133900
bmwcra_1 0.155633
bodyy4 0.004088
bodyy5 0.004211
bodyy6 0.005011
bone010 1.083062
boneS01 0.119020
boneS10 0.936462
boyd1 0.748865
boyd2 3.712469
bp_0 0.006786
bp_1000 0.005542
bp_1200 0.005712
bp_1400 0.005737
bp_1600 0.005491
bp_200 0.007398
bp_400 0.007536
bp_600 0.005417
bp_800 0.005486
brack2 0.020943
brainpc2 0.145349
bratu3d 0.004973
Bump_2911 1.655476
bundle1 0.012956
bundle_adj 0.391520
bwm2000 0.005390
bwm200 0.005001
c-18 0.004988
c-19 0.005082
c-20 0.005062
c-21 0.004947
c-22 0.004985
c-23 0.008740
c-24 0.004985
c-25 0.005856
c-26 0.007197
c-27 0.006015
c-28 0.006737
c-29 0.007030
c-30 0.012175
c-31 0.005469
c-32 0.012067
c-33 0.011082
c-34 0.007490
c-35 0.008139
c-36 0.009555
c-37 0.007132
c-38 0.008093
c-39 0.007271
c-40 0.019187
c-41 0.008142
c-42 0.010695
c-43 0.019898
c-44 0.012122
c-45 0.017812
c-46 0.019873
c-47 0.016032
c-48 0.012392
c-49 0.023367
c-50 0.025357
c-51 0.023398
c-52 0.024248
c-53 0.030645
c-54 0.017378
c-55 0.023638
c-56 0.014508
c-57 0.063059
c-58 0.038091
c-59 0.026216
c-60 0.031640
c-61 0.039948
c-62ghs 0.040349
c-62 0.040416
c-63 0.027635
c-64b 0.089088
c-64 0.083219
c-65 0.036415
c-66 0.036431
c-67b 0.021261
c-67 0.021262
c-68 0.032331
c-69 0.029922
c-70 0.047591
c-71 0.069149
c-72 0.084540
c-73b 0.627192
c-73 0.627538
c8_mat11_I 0.029370
c8_mat11 0.029763
ca2010 0.097448
ca-AstroPh 0.011404
ca-CondMat 0.008026
cage10 0.004917
cage11 0.010423
cage12 0.047579
cage13 0.159353
cage8 0.004962
cage9 0.003865
CAG_mat1916 0.004981
ca-GrQc 0.004914
ca-HepPh 0.010121
ca-HepTh 0.005133
caidaRouterLevel 0.049452
California 0.009526
can_1054 0.004935
can_1072 0.004886
can_634 0.004946
can_715 0.004990
can_838 0.005041
cant 0.068107
car4 0.005610
case39 0.114881
case9 0.044764
cat_ears_2_4 0.003908
cat_ears_3_4 0.005085
cat_ears_4_4 0.004977
cavity05 0.004933
cavity06 0.004982
cavity07 0.004891
cavity08 0.004922
cavity09 0.004916
cavity10 0.004911
cavity11 0.005027
cavity12 0.005178
cavity13 0.004999
cavity14 0.004892
cavity15 0.004917
cavity16 0.005111
